datetime,000001.SH,cash,commission,direction,signal,total,returns,equity_curve,drawdown,open,high,low,close,volume,,,
2010-09-06,1675.791,1758.319,20,-1,0,3434.11,-0.1063219064,0.686822,0.355534,2667.195,2698.601,2664.239,2696.25,160243816.004,2653.82,2638.2874,15.5326
2010-09-07,1654.661,1758.319,20,-1,0,3412.98,-0.006152977,0.682596,0.35976,2698.218,2704.933,2679.023,2698.363,123619813.535,2665.733,2643.093,22.64
2010-09-08,1685.381,1758.319,20,-1,0,3443.7,0.0090009317,0.68874,0.353616,2687.711,2695.845,2674.321,2695.291,130961458.932,2680.2148,2652.9641,27.2507
2010-09-09,2074.771,1758.319,20,-1,0,3833.09,0.1130731481,0.766618,0.275738,2698.638,2698.638,2651.602,2656.352,156158833.53,2680.33,2658.2512,22.0788
2010-09-10,2006.201,1758.319,20,-1,0,3764.52,-0.0178889616,0.752904,0.289452,2657.235,2667.837,2628.829,2663.209,134130260.641,2681.893,2663.4979,18.3951
2010-09-13,1755.091,1758.319,20,-1,0,3513.41,-0.0667043873,0.702682,0.339674,2665.655,2696.674,2660.607,2688.32,140796348.382,2680.307,2667.0635,13.2435
2010-09-14,1753.071,1758.319,20,-1,0,3511.39,-0.00057494,0.702278,0.340078,2694.069,2703.781,2678.974,2688.522,141033358.692,2678.3388,2672.0359,6.3029
2010-09-15,2113.261,1758.319,20,-1,1,3871.58,0.1025776117,0.774316,0.26804,2688.386,2688.49,2645.864,2652.503,138474774.688,2669.7812,2674.998,-5.2168
2010-09-16,2152.123,1214.077,30,1,0,3366.2,-0.1305358536,0.67324,0.369116,2646.921,2653.272,2583.337,2602.465,128503047.305,2659.0038,2669.6669,-10.6631
2010-09-17,2114.363,1214.077,30,1,0,3328.44,-0.0112173965,0.665688,0.376668,2607.551,2615.079,2592.535,2598.689,94665866.014,2646.0998,2663.9964,-17.8966
2010-09-20,2014.603,1214.077,30,1,0,3228.68,-0.0299719989,0.645736,0.39662,2601.482,2607.347,2573.629,2588.713,89768763.349,2626.1784,2653.2427,-27.0643
2010-09-21,2042.973,1214.077,30,1,0,3257.05,0.0087868727,0.65141,0.390946,2593.763,2601.099,2580.177,2591.55,66352718.905,2606.784,2642.5614,-35.7774
2010-09-27,2407.143,1214.077,30,1,0,3621.22,0.1118097665,0.724244,0.318112,2600.54,2629.045,2597.139,2627.967,90540412.834,2601.8768,2635.829,-33.9522
2010-09-28,2241.013,1214.077,30,1,0,3455.09,-0.045876804,0.691018,0.351338,2625.326,2625.326,2607.018,2611.354,115012769.894,2603.6546,2631.3292,-27.6746
2010-09-29,2234.253,1214.077,30,1,0,3448.33,-0.0019565337,0.689666,0.35269,2608.919,2634.124,2603.927,2610.678,105883851.592,2606.0524,2626.0761,-20.0237
2010-09-30,2684.053,1214.077,30,1,0,3898.13,0.1304399521,0.779626,0.26273,2599.715,2655.999,2597.597,2655.658,107081515.676,2619.4414,2622.8099,-3.3685
2010-10-08,3514.913,1214.077,30,1,0,4728.99,0.2131432251,0.945798,0.096558,2681.253,2747.805,2677.994,2738.744,167621124.086,2632.263,2619.5235,12.7395
2010-10-11,4196.893,1214.077,30,1,0,5410.97,0.144212612,1.082194,0,2755.026,2823.597,2755.026,2806.942,253469816.331,,,
2010-10-12,4541.543,1214.077,30,1,0,5755.62,0.0636946795,1.151124,0,2795.764,2843.428,2782.341,2841.407,211787463.158,,,
2010-10-13,4741.083,1214.077,30,1,0,5955.16,0.0346687238,1.191032,0,2842.138,2862.035,2826.221,2861.361,228385387.87,,,
2010-10-14,4923.833,1214.077,30,1,0,6137.91,0.0306876725,1.227582,0,2881.552,2919.414,2864.519,2879.636,264686127.446,,,
2010-10-15,5839.073,1214.077,30,1,0,7053.15,0.1491126458,1.41063,0,2863.738,2971.16,2858.216,2971.16,272950778.561,,,
2010-10-18,5679.743,1214.077,30,1,0,6893.82,-0.0225899066,1.378764,0.031866,2985.462,3026.099,2944.715,2955.227,301231086.926,,,
2010-10-19,6146.003,1214.077,30,1,0,7360.08,0.06763449,1.472016,0,2949.63,3002.371,2931.91,3001.853,199631322.929,,,
2010-10-20,6166.983,1214.077,30,1,0,7381.06,0.0028505125,1.476212,0,2947.511,3041.151,2942.505,3003.951,262064859.268,,,
2010-10-21,5962.803,1214.077,30,1,0,7176.88,-0.0276626934,1.435376,0.040836,3009.225,3018.244,2958.546,2983.533,205073033.662,,,
2010-10-22,5877.903,1214.077,30,1,0,7091.98,-0.011829653,1.418396,0.057816,2976.754,2997.624,2954.619,2975.043,194901562.538,,,
2010-10-25,6641.663,1214.077,30,1,0,7855.74,0.1076934791,1.571148,0,2979.706,3051.539,2959.298,3051.419,251711409.46,,,
