datetime,open,high,low,close,volume,000001.SH,cash,commission,direction,signal,total,returns,equity_curve,drawdown
2010-08-06,2618.7129999999997,2659.4120000000003,2598.913,2658.3920000000003,123369598.864,0.0,10000.0,0.0,0,0,10000.0,,,
2010-08-09,2656.364,2676.09,2650.397,2672.533,126564688.624,0.0,10000.0,0.0,0,0,10000.0,0.0,1.0,0.0
2010-08-10,2672.7929999999997,2675.313,2594.3360000000002,2595.274,129567701.18200001,0.0,10000.0,0.0,0,0,10000.0,0.0,1.0,0.0
2010-08-11,2587.615,2618.451,2586.018,2607.4970000000003,88759712.1223,0.0,10000.0,0.0,0,0,10000.0,0.0,1.0,0.0
2010-08-12,2584.919,2608.761,2570.9629999999997,2575.475,96005861.114,0.0,10000.0,0.0,0,0,10000.0,0.0,1.0,0.0
2010-08-13,2576.687,2607.033,2564.8379999999997,2606.7,91346885.77200001,0.0,10000.0,0.0,0,0,10000.0,0.0,1.0,0.0
2010-08-16,2603.792,2665.3140000000003,2596.771,2661.708,130747036.4988,0.0,10000.0,0.0,0,0,10000.0,0.0,1.0,0.0
2010-08-17,2663.184,2677.57,2654.011,2671.893,128597720.021,0.0,10000.0,0.0,0,0,10000.0,0.0,1.0,0.0
2010-08-18,2674.5009999999997,2687.76,2654.408,2666.301,128831042.371,0.0,10000.0,0.0,0,1,10000.0,0.0,1.0,0.0
2010-08-19,2669.4309999999996,2701.93,2659.297,2687.9790000000003,133233657.249,2883.0810000000033,7330.1990000000005,7.0,1,0,10213.280000000004,0.021328000000000458,1.0213280000000005,0.0
2010-08-20,2677.0190000000002,2683.288,2636.908,2642.3070000000002,119817337.63200001,2426.361000000003,7330.1990000000005,7.0,1,0,9756.560000000003,-0.04471824918145795,0.9756560000000003,0.04567200000000016
2010-08-23,2637.82,2656.116,2629.7070000000003,2639.366,91492887.89899999,2396.9510000000005,7330.1990000000005,7.0,1,0,9727.150000000001,-0.0030143821182877506,0.9727150000000001,0.04861300000000035
2010-08-24,2636.532,2667.171,2614.563,2650.3070000000002,106318342.843,2506.361000000003,7330.1990000000005,7.0,1,0,9836.560000000003,0.011247898922089439,0.9836560000000003,0.03767200000000015
2010-08-25,2634.95,2645.5029999999997,2595.728,2596.58,108265742.16700001,1969.091,7330.1990000000005,7.0,1,0,9299.29,-0.05461970444952324,0.929929,0.09139900000000045
2010-08-26,2604.882,2616.962,2590.614,2603.481,81805454.77600001,2038.1010000000028,7330.1990000000005,7.0,1,-1,9368.300000000003,0.007420996656734236,0.9368300000000002,0.0844980000000003
2010-08-27,2602.501,2613.487,2588.643,2610.742,75183467.794,2530.8710000000005,6761.319000000003,14.0,-1,0,9292.190000000004,-0.008124206099292208,0.9292190000000002,0.09210900000000022
